customer_id,full_name,date_of_birth,ssn_last4,kyc_status,risk_rating
CUST00113,Aisha Martinez,1997-10-19,9988,REVIEW,LOW
CUST00114,Michael Rodriguez,1963-08-23,2573,VERIFIED,LOW
CUST00115,Robert Garcia,1994-07-10,6693,PENDING,HIGH
CUST00116,Elizabeth Johnson,02/28/1987,4720,REVIEW,LOW
CUST00117,Robert Davis,25-Sep-1985,9663,REVIEW,LOW
CUST00118,Patricia Singh,02/21/1983,2441,VERIFIED,LOW
CUST00119,Mary Garcia,29-May-1951,9749,REVIEW,HIGH
CUST00120,Carlos Brown,19701123,4982,REVIEW,MEDIUM
CUST00121,Sun Singh,19690604,7172,VERIFIED,HIGH
CUST00122,Aisha Chen,30-Jul-1948,0423,VERIFIED,LOW
CUST00123,Olga Smith,09-Aug-1996,9441,VERIFIED,LOW
CUST00124,Sun Okafor,19-Mar-1987,2973,,MEDIUM
CUST00125,Fatima Williams,20011213,5700,PENDING,LOW
CUST00126,Patricia Garcia,21-Oct-1973,6744,REVIEW,MEDIUM
CUST00127,Wei Singh,1970-11-10,7451,VERIFIED,LOW
CUST00128,Maria Brown,19670824,8431,VERIFIED,HIGH
CUST00129,Aisha Johnson,06/13/1986,8494,VERIFIED,HIGH
CUST00130,Carlos Johnson,09/21/1989,4375,,LOW
CUST00131,Carlos Ivanov,1970-11-04,0472,REVIEW,HIGH
CUST00132,Jennifer Martinez,1966-06-21,9048,PENDING,LOW
CUST00133,Patricia Okafor,1965-02-27,2522,PENDING,LOW
CUST00134,David Khan,19900827,7736,VERIFIED,MEDIUM
CUST00135,John Nguyen,06/16/1994,9820,,LOW
CUST00136,David Khan,07-Apr-1951,8318,VERIFIED,LOW
CUST00137,Elizabeth Lopez,19700518,2434,PENDING,HIGH
CUST00138,Jose Chen,19880614,7460,VERIFIED,LOW
CUST00139,Olga Nguyen,06/05/1966,6730,VERIFIED,LOW
CUST00140,Wei Nguyen,06/08/1987,8115,VERIFIED,LOW
CUST00141,Olga Chen,1990-01-24,7213,VERIFIED,HIGH
CUST00142,James Jones,19851229,2529,VERIFIED,MEDIUM
CUST00143,Maria Mensah,19681011,1315,VERIFIED,HIGH
CUST00144,Maria Ivanov,1979-02-04,1121,VERIFIED,LOW
CUST00145,Robert Khan,1965-05-30,1646,PENDING,LOW
CUST00146,James Johnson,13-Nov-1971,0919,VERIFIED,LOW
CUST00147,Aisha Jones,08/18/1978,8702,PENDING,HIGH
CUST00148,Jennifer Garcia,1961-02-26,9985,PENDING,HIGH
CUST00149,Fatima Lopez,08/10/1966,3804,PENDING,LOW
CUST00150,David Smith,19860326,4712,REVIEW,HIGH
CUST00151,Robert Okafor,05-Mar-1959,9626,VERIFIED,MEDIUM
CUST00152,Carlos Martinez,06/10/1967,6302,PENDING,LOW
CUST00153,Wei Lopez,13-Apr-1966,9417,VERIFIED,LOW
CUST00154,Wei Rodriguez,1946-12-20,9272,REVIEW,LOW
CUST00155,Fatima Martinez,05/28/1999,9946,VERIFIED,LOW
CUST00156,Michael Mensah,11-Feb-2002,2240,REVIEW,LOW
CUST00157,Mary Martinez,20010417,0546,,LOW
CUST00158,Robert Martinez,16-Oct-1956,6807,VERIFIED,LOW
CUST00159,Ravi Patel,09-Nov-1956,2695,VERIFIED,MEDIUM
CUST00160,Maria Brown,19710625,1233,VERIFIED,LOW
CUST00161,Ravi Patel,1980-08-27,6464,VERIFIED,LOW
CUST00162,Patricia Okafor,20-Feb-1993,4295,,MEDIUM
CUST00163,Jose Brown,04/15/2002,7724,VERIFIED,HIGH
CUST00164,Maria Mensah,05/15/1995,1035,REVIEW,MEDIUM
CUST00165,Aisha Brown,02/11/1972,0742,VERIFIED,LOW
CUST00166,Patricia Brown,03/13/1989,8807,VERIFIED,MEDIUM
CUST00167,Jose Singh,19850912,9622,REVIEW,LOW
CUST00168,Patricia Ivanov,19820322,4583,VERIFIED,LOW
CUST00169,Carlos Okafor,06/29/1964,5942,VERIFIED,LOW
CUST00170,Jose Johnson,19931106,4520,VERIFIED,LOW
CUST00171,Robert Miller,1985-10-18,0828,VERIFIED,LOW
CUST00172,Olga Miller,1956-04-19,9080,VERIFIED,HIGH
CUST00173,Linda Chen,05/17/1964,9764,VERIFIED,LOW
CUST00174,John Singh,25-Dec-1957,2858,VERIFIED,LOW
CUST00175,James Patel,10/28/1956,9647,VERIFIED,LOW
CUST00176,David Johnson,08/19/1960,6897,,LOW
CUST00177,Fatima Okafor,14-Sep-1950,8408,,LOW
CUST00178,Sun Davis,1985-07-21,8543,VERIFIED,MEDIUM
CUST00179,James Johnson,20020919,6580,PENDING,LOW
CUST00180,Carlos Williams,1988-12-26,5277,,LOW
CUST00181,John Rodriguez,23-Nov-1950,6240,,HIGH
CUST00182,Carlos Kim,19710617,1624,REVIEW,LOW
CUST00183,Ravi Miller,20030927,7398,VERIFIED,MEDIUM
CUST00184,Carlos Nguyen,19750530,1557,VERIFIED,MEDIUM
CUST00185,David Patel,01/14/1973,7770,VERIFIED,LOW
CUST00186,Robert Khan,1952-08-29,6105,VERIFIED,HIGH
CUST00187,Olga Singh,20-May-1950,2002,PENDING,LOW
CUST00188,Aisha Johnson,09-Sep-2004,9837,VERIFIED,LOW
CUST00189,Olga Kim,04/18/1954,2535,REVIEW,MEDIUM
CUST00190,Patricia Patel,13-Feb-1965,1882,VERIFIED,HIGH
CUST00191,Aisha Singh,1965-04-16,9977,REVIEW,LOW
CUST00192,Jennifer Rodriguez,07-Aug-1947,5567,VERIFIED,LOW
CUST00193,John Lopez,19610411,1140,VERIFIED,LOW
CUST00194,Sun Miller,19530326,6878,PENDING,LOW
CUST00195,Jose Martinez,14-Feb-1959,9299,,LOW
CUST00196,John Garcia,1949-09-20,1336,VERIFIED,MEDIUM
CUST00197,Aisha Ivanov,20040521,6785,VERIFIED,LOW
CUST00198,Patricia Patel,19901219,1816,VERIFIED,HIGH
CUST00199,Sun Martinez,1988-08-28,3612,PENDING,HIGH
CUST00200,James Miller,01-Dec-1949,3460,VERIFIED,LOW
CUST00201,Maria Brown,1970-12-20,8149,REVIEW,MEDIUM
CUST00202,John Nguyen,10/06/1960,8196,,LOW
CUST00203,Wei Johnson,19510620,0307,PENDING,LOW
CUST00204,Olga Khan,19730201,6843,VERIFIED,LOW
CUST00205,James Chen,05/04/1981,7538,REVIEW,LOW
CUST00206,Aisha Brown,11/27/1952,7138,,MEDIUM
CUST00207,Robert Nguyen,04-Jan-1992,5562,VERIFIED,LOW
CUST00208,Robert Kim,1960-02-01,8693,,LOW
CUST00209,Jose Jones,05/06/1976,1684,VERIFIED,LOW
CUST00210,Jennifer Mensah,09/13/1962,1234,VERIFIED,MEDIUM
CUST00211,Olga Lopez,19860816,9248,REVIEW,HIGH
CUST00212,Maria Jones,19731230,1118,PENDING,MEDIUM
CUST00213,Elizabeth Rodriguez,2001-08-24,5766,,LOW
CUST00214,Carlos Okafor,1972-11-06,0932,VERIFIED,LOW
CUST00215,Robert Mensah,19511120,7581,,HIGH
CUST00216,Carlos Lopez,09/06/1948,5267,,MEDIUM
CUST00217,John Johnson,19891224,1695,VERIFIED,LOW
CUST00218,Jennifer Johnson,04/08/1990,7172,PENDING,HIGH
CUST00219,Kwame Garcia,25-Nov-1991,6108,VERIFIED,MEDIUM
CUST00220,Maria Mensah,1981-09-03,5482,VERIFIED,LOW
CUST00221,Ravi Nguyen,24-Jun-1953,4128,REVIEW,HIGH
CUST00222,Maria Williams,06/29/1958,5731,VERIFIED,MEDIUM
CUST00223,Kwame Williams,27-Jul-1956,9157,PENDING,LOW
CUST00224,Sun Williams,19560619,8331,VERIFIED,LOW
CUST00225,Elizabeth Garcia,07/13/1977,5598,PENDING,LOW
CUST00226,John Jones,1965-04-29,4846,VERIFIED,HIGH
CUST00227,Sun Johnson,05-Jun-1993,2147,,MEDIUM
CUST00228,Jennifer Garcia,11/03/1958,7170,VERIFIED,MEDIUM
CUST00229,Linda Okafor,07-Sep-1977,7355,VERIFIED,HIGH
CUST00230,Elizabeth Ivanov,06/17/1966,6026,REVIEW,HIGH
CUST00231,Carlos Martinez,19840712,8239,,MEDIUM
CUST00232,Michael Mensah,07/17/1959,4096,VERIFIED,MEDIUM
CUST00233,Ravi Brown,1978-04-21,4670,VERIFIED,LOW
CUST00234,Carlos Kim,06/22/1969,7167,VERIFIED,LOW
CUST00235,Jose Smith,19850622,0872,PENDING,HIGH
CUST00236,Linda Nguyen,1978-07-20,6142,VERIFIED,LOW
CUST00237,Patricia Chen,08/04/1973,2254,VERIFIED,LOW
CUST00238,John Ivanov,19870522,0086,VERIFIED,LOW
CUST00239,Michael Jones,19671218,1821,VERIFIED,LOW
CUST00240,Patricia Johnson,01/08/1972,6878,REVIEW,HIGH
CUST00241,Robert Brown,19860104,9776,,LOW
CUST00242,Sun Lopez,09/11/2001,2352,VERIFIED,MEDIUM
CUST00243,Kwame Patel,02/21/1945,9349,PENDING,LOW
CUST00244,Robert Kim,09-Aug-2004,1108,,HIGH
CUST00245,Sun Singh,1990-07-08,6397,PENDING,LOW
CUST00246,Wei Patel,11-Jan-2002,0266,VERIFIED,LOW
CUST00247,Linda Brown,08-Dec-1975,2185,VERIFIED,LOW
CUST00248,Maria Garcia,19931226,7840,REVIEW,LOW
CUST00249,Robert Okafor,1957-02-05,4807,VERIFIED,LOW
CUST00250,Mary Chen,24-Nov-1962,8444,PENDING,HIGH
CUST00251,David Johnson,06/22/1987,4687,VERIFIED,LOW
CUST00252,Maria Rodriguez,2003-10-31,6029,PENDING,MEDIUM
CUST00253,Wei Chen,06/14/1984,8129,REVIEW,MEDIUM
CUST00254,Sun Rodriguez,1977-12-16,6955,VERIFIED,MEDIUM
CUST00255,Jennifer Singh,19-Jan-1999,5262,VERIFIED,LOW
CUST00256,Elizabeth Martinez,19740603,9873,REVIEW,MEDIUM
CUST00257,Carlos Patel,19591214,0693,REVIEW,LOW
CUST00258,Aisha Rodriguez,2000-02-29,1229,REVIEW,MEDIUM
CUST00259,Sun Garcia,1977-08-05,2339,,MEDIUM
CUST00260,John Williams,02/15/1948,6001,VERIFIED,MEDIUM
CUST00261,Mary Mensah,11/22/1995,7371,VERIFIED,LOW
CUST00262,Robert Lopez,10/30/1984,8674,VERIFIED,MEDIUM
CUST00263,David Davis,1973-03-16,0424,REVIEW,LOW
CUST00264,Sun Nguyen,1989-10-09,4288,VERIFIED,MEDIUM
CUST00265,Kwame Martinez,19640402,3279,VERIFIED,LOW
CUST00266,Carlos Garcia,19510824,1438,REVIEW,LOW
CUST00267,Jose Williams,30-Nov-2004,4914,VERIFIED,LOW
CUST00268,Sun Davis,1977-06-07,3292,VERIFIED,LOW
CUST00269,James Patel,28-Apr-1989,7657,,LOW
CUST00270,Robert Williams,26-Nov-1999,6523,REVIEW,MEDIUM
CUST00271,Aisha Khan,1992-02-29,2053,VERIFIED,LOW
CUST00272,Carlos Kim,15-May-1985,2102,,HIGH
CUST00273,John Khan,1961-04-29,2034,,LOW
CUST00274,Jennifer Garcia,14-Apr-1972,3694,VERIFIED,HIGH
CUST00275,Robert Rodriguez,06/26/1970,9024,VERIFIED,LOW
CUST00276,Elizabeth Mensah,2001-01-27,8234,REVIEW,LOW
CUST00277,Olga Jones,02/04/1998,9914,VERIFIED,HIGH
CUST00278,James Williams,1948-09-11,9449,VERIFIED,LOW
CUST00279,Aisha Mensah,1996-04-30,8159,REVIEW,HIGH
CUST00280,Elizabeth Ivanov,12/27/1970,6653,VERIFIED,MEDIUM
CUST00281,Mary Garcia,19510720,6809,PENDING,MEDIUM
CUST00282,Maria Mensah,04/22/1963,5121,REVIEW,LOW
CUST00283,Wei Jones,27-Dec-1975,8437,,LOW
CUST00284,Linda Okafor,1973-08-18,4382,PENDING,LOW
CUST00285,Patricia Johnson,22-Aug-1957,6293,,MEDIUM
CUST00286,Jennifer Chen,11-Apr-1967,3110,VERIFIED,MEDIUM
CUST00287,Carlos Ivanov,07-Mar-1991,8148,VERIFIED,LOW
CUST00288,Sun Okafor,04/12/1980,3524,,LOW
CUST00289,Mary Martinez,19490514,9789,REVIEW,MEDIUM
CUST00290,Ravi Smith,1970-08-21,7060,VERIFIED,LOW
CUST00291,Wei Patel,1977-10-25,6563,VERIFIED,HIGH
CUST00292,Michael Patel,28-May-1995,1204,PENDING,HIGH
CUST00293,Ravi Rodriguez,1985-05-28,2108,VERIFIED,MEDIUM
CUST00294,Maria Singh,25-Jun-1978,2363,VERIFIED,HIGH
CUST00295,Wei Kim,1990-09-04,0742,VERIFIED,LOW
CUST00296,Fatima Kim,19741118,2440,,HIGH
CUST00297,Maria Mensah,17-Jul-1957,2662,PENDING,HIGH
CUST00298,Olga Chen,19711106,9222,VERIFIED,MEDIUM
CUST00299,Jose Chen,1946-06-30,6824,,LOW
CUST00300,James Mensah,20010615,4350,REVIEW,HIGH
CUST00301,Linda Johnson,19961027,2793,,HIGH
CUST00302,John Davis,1979-02-10,9380,REVIEW,LOW
CUST00303,James Okafor,12-Feb-1962,6861,VERIFIED,MEDIUM
CUST00304,Aisha Kim,19630418,1020,REVIEW,LOW
CUST00305,Michael Singh,15-Jul-1991,7837,,MEDIUM
CUST00306,Jennifer Okafor,24-Feb-1973,8950,VERIFIED,LOW
CUST00307,Fatima Miller,09/25/1999,4571,,LOW
CUST00308,Elizabeth Martinez,03/05/1965,8011,VERIFIED,MEDIUM
CUST00309,Ravi Rodriguez,17-Apr-1976,1996,,HIGH
CUST00310,Wei Patel,01/24/1979,4758,VERIFIED,LOW
CUST00311,Jose Okafor,03-Feb-1952,7849,VERIFIED,LOW
CUST00312,David Singh,27-Apr-1993,2249,VERIFIED,HIGH
CUST00313,Linda Davis,1997-08-25,8700,VERIFIED,LOW
CUST00314,Patricia Khan,17-Sep-1949,7739,VERIFIED,LOW
CUST00315,Ravi Garcia,19450619,7793,PENDING,LOW
CUST00316,Maria Martinez,1970-10-09,1465,REVIEW,HIGH
CUST00317,Ravi Johnson,11/01/1965,6846,VERIFIED,LOW
CUST00318,Fatima Garcia,13-Aug-1980,0613,VERIFIED,LOW
CUST00319,Kwame Brown,15-Dec-1995,4662,PENDING,HIGH
CUST00320,Fatima Jones,19920115,4470,VERIFIED,LOW
CUST00321,Jennifer Okafor,01-Sep-1974,3050,VERIFIED,LOW
CUST00322,Olga Miller,06/21/1971,6643,PENDING,HIGH
CUST00323,Robert Nguyen,1974-06-03,3027,VERIFIED,MEDIUM
CUST00324,Linda Smith,12-Jan-1974,6284,VERIFIED,MEDIUM
CUST00325,Maria Martinez,1968-12-14,4285,REVIEW,LOW
CUST00326,Mary Brown,19660315,5026,VERIFIED,MEDIUM
CUST00327,Elizabeth Brown,31-Jan-1990,6021,,LOW
CUST00328,John Ivanov,08/29/1964,7454,REVIEW,HIGH
CUST00329,Aisha Singh,19780709,8806,REVIEW,LOW
CUST00330,Kwame Williams,19670315,8653,REVIEW,LOW
CUST00331,Olga Brown,1952-01-04,8972,,LOW
CUST00332,Ravi Jones,05/19/1996,5375,,MEDIUM
CUST00333,Michael Lopez,19550606,1489,,MEDIUM
CUST00334,Carlos Jones,19491229,7484,,LOW
CUST00335,Carlos Martinez,1995-02-18,6487,VERIFIED,LOW
CUST00336,Olga Williams,1964-07-20,6941,VERIFIED,LOW
CUST00337,Mary Williams,19930720,0519,VERIFIED,MEDIUM
CUST00338,John Khan,23-Feb-1961,6266,PENDING,MEDIUM
CUST00339,Robert Singh,09/14/1978,5697,VERIFIED,LOW
CUST00340,Wei Kim,03/14/1993,3648,VERIFIED,LOW
CUST00341,Carlos Singh,19711008,8715,PENDING,LOW
CUST00342,Carlos Patel,03/17/1967,4516,VERIFIED,LOW
CUST00343,Aisha Mensah,1947-11-22,3943,VERIFIED,LOW
CUST00344,Kwame Johnson,19540120,9794,REVIEW,LOW
CUST00345,Mary Nguyen,19661216,3839,,LOW
CUST00346,John Kim,24-Jan-1950,3836,REVIEW,HIGH
CUST00347,Olga Mensah,11-Aug-1973,3881,VERIFIED,LOW
CUST00348,Sun Davis,20040325,4923,VERIFIED,LOW
CUST00349,Olga Garcia,19941212,9107,PENDING,LOW
CUST00350,Wei Kim,25-Nov-1975,6821,PENDING,LOW
CUST00351,Wei Garcia,19711127,3948,VERIFIED,LOW
CUST00352,Carlos Johnson,19571214,6824,,HIGH
CUST00353,Wei Davis,11-Jan-1957,3331,VERIFIED,LOW
CUST00354,Jose Williams,05/09/1985,0844,VERIFIED,MEDIUM
CUST00355,Kwame Johnson,1999-04-11,3082,,HIGH
CUST00356,Fatima Miller,21-Jun-1964,4967,VERIFIED,LOW
CUST00357,Patricia Ivanov,01/18/1962,9902,REVIEW,LOW
CUST00358,Linda Singh,01-Aug-1980,4637,PENDING,MEDIUM
CUST00359,Jose Martinez,16-Nov-1992,5892,,MEDIUM
CUST00360,Patricia Ivanov,23-Oct-1986,3328,VERIFIED,LOW
CUST00361,Mary Lopez,02/19/1982,2390,VERIFIED,LOW
CUST00362,Olga Lopez,19940822,4836,VERIFIED,LOW
CUST00363,Linda Nguyen,08/06/1974,8180,,LOW
CUST00364,Fatima Ivanov,19680202,2756,REVIEW,LOW
CUST00365,John Singh,19600309,3015,,LOW
CUST00366,Mary Williams,1992-01-03,0104,PENDING,LOW
CUST00367,Linda Williams,08/01/2001,0149,VERIFIED,HIGH
CUST00368,Jose Johnson,19851129,7993,VERIFIED,LOW
CUST00369,Ravi Khan,1992-09-30,0274,,LOW
CUST00370,Elizabeth Smith,19930124,2937,VERIFIED,LOW
CUST00371,John Davis,01/18/1992,8625,VERIFIED,LOW
CUST00372,Wei Williams,25-Dec-1968,6652,PENDING,HIGH
CUST00373,Linda Martinez,1966-10-27,0519,VERIFIED,MEDIUM
CUST00374,Wei Singh,19790110,0919,REVIEW,LOW
CUST00375,Robert Ivanov,19600517,5427,,LOW
CUST00376,Mary Davis,05/20/1992,9286,PENDING,LOW
CUST00377,Robert Rodriguez,1949-03-06,2938,VERIFIED,LOW
CUST00378,Olga Jones,19630803,1260,VERIFIED,LOW
CUST00379,Linda Lopez,19950806,8856,VERIFIED,MEDIUM
CUST00380,Robert Kim,22-Jul-1957,0879,VERIFIED,MEDIUM
CUST00381,Robert Chen,19651029,5347,VERIFIED,LOW
CUST00382,Fatima Davis,03-Jun-1985,9060,PENDING,MEDIUM
CUST00383,Olga Nguyen,1961-08-31,4839,VERIFIED,LOW
CUST00384,David Jones,19520512,2527,REVIEW,MEDIUM
CUST00385,Jose Brown,1973-05-30,0085,VERIFIED,MEDIUM
CUST00386,David Brown,04/16/1977,1430,VERIFIED,MEDIUM
CUST00387,Ravi Singh,19850408,1692,VERIFIED,LOW
CUST00388,Ravi Williams,02-Oct-1976,6311,VERIFIED,LOW
CUST00389,Wei Williams,02/15/1982,9370,,LOW
CUST00390,Jennifer Jones,27-Feb-1979,4933,VERIFIED,MEDIUM
CUST00391,Robert Garcia,19580203,4521,PENDING,LOW
CUST00392,Robert Patel,11-Jun-1988,4040,REVIEW,MEDIUM
CUST00393,Kwame Miller,19980410,1752,VERIFIED,LOW
CUST00394,Wei Chen,19450810,5399,PENDING,LOW
CUST00395,Kwame Jones,20-Aug-1983,5253,,LOW
CUST00396,Maria Garcia,19871223,5228,VERIFIED,MEDIUM
CUST00397,Linda Chen,19960831,4592,PENDING,LOW
CUST00398,Olga Miller,03/21/1955,9012,VERIFIED,MEDIUM
CUST00399,Carlos Martinez,1963-10-23,6703,REVIEW,MEDIUM
CUST00400,Elizabeth Davis,27-Jun-1957,2525,REVIEW,MEDIUM
CUST00401,Robert Okafor,19781028,9539,PENDING,HIGH
CUST00402,Aisha Singh,1990-06-14,5890,REVIEW,HIGH
CUST00403,Robert Brown,04/11/1998,5816,VERIFIED,HIGH
CUST00404,Olga Nguyen,22-Dec-1948,7052,VERIFIED,LOW
CUST00405,David Davis,11/06/1953,7303,VERIFIED,MEDIUM
CUST00406,Olga Kim,07/18/1986,5651,VERIFIED,MEDIUM
CUST00407,Elizabeth Khan,1954-05-19,1901,REVIEW,LOW
CUST00408,Elizabeth Chen,19760402,3389,,MEDIUM
CUST00409,Fatima Brown,19760401,7412,VERIFIED,LOW
CUST00410,Mary Brown,1971-12-10,5620,REVIEW,LOW
